,Sentences,Speaker
0,"September 26, 2018  CHAIRMAN POWELL: Good afternoon, everyone.",None
1,Thanks for being here.,None
2,"I am going to start with an overview of how my colleagues and I see the economy, what we decided today, and then a bit about our expectations for the months ahead.",None
3,Our economy is strong.,None
4,Growth is running at a healthy clip.,None
5,"Unemployment is low, the number of people working is rising steadily, and wages are up.",None
6,Inflation is low and stable.,None
7,All of these are very good signs.,None
8,"Of course, that’s not to say that everything is perfect.",None
9,The benefits of this strong economy have not reached all Americans.,None
10,"Many of our country’s economic challenges are beyond the scope of the Fed, but my colleagues and I are doing all we can to keep the economy strong, healthy, and moving forward.",None
11,That is the best way we can promote an environment in which every American has the opportunity to succeed.,None
12,"Each time my colleagues and I meet, we face the same question: How can we set policy to best support job growth and low, steady inflation?",None
13,"For many years, this question called for very low interest rates to help an economy that had been damaged by the deep financial crisis that gripped the world 10 years ago.",None
14,"As the economy has steadily gained strength, the Fed has been gradually returning interest rates closer to levels that are normal in a healthy economy.",None
15,We  took another step on that path today with a quarter-point increase in short-term  interest rates.,None
16,"These rates remain low, and my colleagues and I believe that this gradual return to normal is helping to sustain this strong economy for the longer-run benefit of all Americans.",None
17,"As I mentioned, 10 years have now passed since the depths of the financial crisis—a painful part of our history that cost many Americans their jobs, their homes, and, for some, their hopes and dreams.",None
18,"In addition to holding interest rates low to support the recovery, we have also banks to much higher standards in the amount of capital and liquidity they hold and in the ways they assess and manage the risks they take.",None
19,I am  confident that the system today is stronger and in a far better position to support the financial needs of households and businesses through good times and bad.,None
20,We continue to work to sustain these fundamental improvements while also ensuring that regulation is both effective and efficient.,None
21,"Now, let me go into more detail about the developments that motivated today’s policy decision.",None
22,"Both household spending and business investment are expanding briskly, and the overall growth outlook remains favorable.",None
23,"And several factors support this assessment:  Fiscal policy is boosting the economy, ongoing job gains are raising incomes and confidence, and overall financial conditions remain accommodative.",None
24,These conditions are consistent with our Summary of Economic Projections for this meeting.,None
25,The median of  Committee participants’ projections for the growth of real GDP is 3.1 percent this year and 2.5 percent next year.,None
26,"Job gains averaged 185,000 per month over the last three months, well above the pace needed in the longer run to provide jobs for new entrants to the labor force.",None
27,The unemployment rate stood at 3.9 percent in August and has been near that level since April.,None
28,"Smoothing through month-to-month variations, the labor force participation rate remains about where it was in late 2013—a positive sign, given that the aging of our population is putting downward pressure on participation.",None
29,We expect the job market to remain strong.,None
30,And the median of Committee participants’ projections for the unemployment rate later this year is 3.7 percent and a bit lower than that in 2019.,None
31,"Overall consumer prices, as measured by the price index for personal consumption expenditures (PCE inflation), increased 2.3 percent over the 12 months ending in July.",None
32,"The core future inflation, rose 2 percent over the same period.",None
33,"The FOMC seeks, and expects to see, inflation remaining near our 2 percent longer-run objective on a sustained basis.",None
34,"At any given time, inflation may be somewhat above or below 2 percent.",None
35,"For example, the recent rise in oil prices has pushed inflation a little above 2 percent, but we expect this to be transitory, as is reflected in our projections.",None
36,The median projections for both the overall and core inflation measures remain very close to 2 percent across the whole projection horizon.,None
37,"Today the Committee raised the target range for the federal funds rate by ¼ percentage point, bringing it to 2 to 2¼ percent.",None
38,This action reflects the strength we see in the economy and is one more step in the process that we began almost three years ago of gradually returning interest rates to more normal levels.,None
39,"Looking ahead, today’s projections show gradual interest rate increases continuing roughly as foreseen in June.",None
40,The median of participants’ views on appropriate policy through 2020 are unchanged since the June meeting.,None
41,These projections play an important role in our work.,None
42,My colleagues and I believe that it’s useful to communicate our views on likely prospects for the economy and for policy.,None
43,"We are well aware, however, that the economy regularly surprises, and that even the most carefully constructed projections are highly uncertain.",None
44,"The projections about the appropriate path of policy assume that the economy evolves broadly in line with the projections for growth, employment, unemployment, and inflation.",None
45,"If the economy were instead to falter, lower interest rates would be appropriate.",None
46,"Conversely, if inflationary pressures were to rise more than expected, higher interest rates would be appropriate.",None
47,"Right now, as our statement indicates, risks to the economic outlook appear roughly balanced.",None
48,"Readers of the FOMC statement likely noted that the Committee dropped a sentence that signal any change in the likely path of policy; instead, it is a sign that policy is proceeding in line with our expectations.",None
49,"We still expect, as our statement says, “further gradual increases in the target range for the federal funds rate,” and this expectation is reflected in the projections that I just discussed.",None
50,Thanks very much.,None
51,I’m happy to take your questions.,None
52,Thank you.,NICK TIMIRAOS.
53,"Nick Timiraos, the Wall Street Journal.",NICK TIMIRAOS.
54,"Chair Powell, given the lags of monetary policy, I want to know how you think about ending the tightening cycle?",NICK TIMIRAOS.
55,How will you know when to stop?,NICK TIMIRAOS.
56,And do you need to keep going until something in the economy breaks?,NICK TIMIRAOS.
57,"So the tightening cycle, as you know, is a reflection of the strength of the economy.",CHAIRMAN POWELL.
58,And it’s almost three years now that we’ve been gradually raising rates.,CHAIRMAN POWELL.
59,"And I think the fact that we have moved quite gradually, in a way, allows us to carefully watch incoming data in the real economy and in the financial markets to see how the economy is processing higher interest rates.",CHAIRMAN POWELL.
60,"And the fact that we’re moving so gradually—I think it—I think it limits the long and variable lags problem because, you know, we’re being able to raise rates and then wait and see how the economy absorbs these rate increases.",CHAIRMAN POWELL.
61,"And so far, the economy has performed very well and very much in keeping with our expectations.",CHAIRMAN POWELL.
62,"Hi, Jim Puzzanghera from the L.A. Times.",JIM PUZZANGHERA.
63,President Trump has stated publicly he’s not thrilled with the interest rate hikes.,JIM PUZZANGHERA.
64,His comments didn’t appear to have any impact on you or your colleagues.,JIM PUZZANGHERA.
65,Were his comments discussed at your meeting?,JIM PUZZANGHERA.
66,And do you have any concerns about the effect of these types of comments on the perception of the Fed’s independence and your monetary policy?,JIM PUZZANGHERA.
67,So we’ve been given a really important job to do on behalf of and I are focused exclusively on carrying out that mission.,CHAIRMAN POWELL.
68,"We consider the best thinking, the best theory, and the best evidence.",CHAIRMAN POWELL.
69,"We have disparate points of view, which we debate extensively and come to a perspective and try to set monetary policy to achieve maximum  employment in a context of price stability.",CHAIRMAN POWELL.
70,That’s what we do.,CHAIRMAN POWELL.
71,We don’t consider political factors or things like that.,CHAIRMAN POWELL.
