,Sentences,Speaker
0,Good afternoon.,CHAIR YELLEN.
1,"Today, the Federal Open Market Committee maintained the target range for the federal funds rate at ¼ to ½ percent.",CHAIR YELLEN.
2,This accommodative policy should support further progress toward our statutory objectives of maximum employment and price stability.,CHAIR YELLEN.
3,"Based on the economic outlook, the Committee continues to anticipate that gradual increases in the federal funds rate over time are likely to be consistent with achieving and maintaining our objectives.",CHAIR YELLEN.
4,"However, recent economic indicators have been mixed, suggesting that our cautious approach to adjusting monetary policy remains appropriate.",CHAIR YELLEN.
5,"As always, our policy is not on a preset course, and if the economic outlook shifts, the appropriate path of policy will shift correspondingly.",CHAIR YELLEN.
6,"I will come back to our policy decision, but first I will review recent economic developments and the outlook.",CHAIR YELLEN.
7,Economic growth was relatively weak late last year and early this year.,CHAIR YELLEN.
8,Some of the factors weighing on growth were expected.,CHAIR YELLEN.
9,"For example, exports have been soft, reflecting subdued foreign demand and the earlier appreciation of the dollar.",CHAIR YELLEN.
10,"Also, activity in the energy sector has obviously been hard hit by the steep drop in oil prices since mid-2014.",CHAIR YELLEN.
11,But the slowdown in other parts of the economy was not expected.,CHAIR YELLEN.
12,"In particular, business investment outside of energy was particularly weak during the winter and appears to have remained so into the spring.",CHAIR YELLEN.
13,"In addition, growth in household spending slowed noticeably early in the year despite solid increases in household income as well as relatively high levels of consumer sentiment and wealth.",CHAIR YELLEN.
14,"Fortunately, the first-quarter slowdown in household spending appears to have been temporary; indicators for the second quarter have so far pointed to a sizable rebound.",CHAIR YELLEN.
15,This recovery is a key factor supporting the Committee’s expectation that overall economic activity will expand at a moderate pace over the next few years.,CHAIR YELLEN.
16,"Despite lackluster economic growth, the job market continued to improve early in the year.",CHAIR YELLEN.
17,"During the first quarter, job gains averaged nearly 200,000 per month, just a bit slower than last year’s pace.",CHAIR YELLEN.
18,And the unemployment rate held near 5 percent even though notably more people were actively looking for work.,CHAIR YELLEN.
19,"However, more recently the pace of improvement in the labor market appears to have slowed markedly.",CHAIR YELLEN.
20,"Job gains in April and May are estimated to have averaged only about 80,000 per month.",CHAIR YELLEN.
21,"And while the unemployment rate fell to 4.7 percent in May, that decline occurred because fewer people reported that they were actively seeking work.",CHAIR YELLEN.
22,A broader measure of unemployment that includes individuals who want and are available to work but have not searched recently as well as people who are working part time but would rather work full time has flattened out.,CHAIR YELLEN.
23,"On a more positive note, average hourly earnings increased 2½ percent over the past 12 months—a bit faster than in earlier years and a welcome indication that wage growth may finally be picking up.",CHAIR YELLEN.
24,"Although recent labor market data have, on balance, been disappointing, it’s important not to overreact to one or two monthly readings.",CHAIR YELLEN.
25,The Committee continues to expect that the labor market will strengthen further over the next few years.,CHAIR YELLEN.
26,"That said, we will be watching the job market carefully.",CHAIR YELLEN.
27,Ongoing economic growth and an improving labor market underpin our inflation outlook.,CHAIR YELLEN.
28,"Overall consumer price inflation—as measured by the price index for personal consumption expenditures—was about 1 percent over the 12 months ending in April, still short of our 2 percent objective.",CHAIR YELLEN.
29,Much of this shortfall continues to reflect the effects of earlier declines in energy prices and lower prices for imports.,CHAIR YELLEN.
30,"Core inflation, which excludes energy and food prices, has been running close to 1½ percent.",CHAIR YELLEN.
31,"As the transitory influences holding down inflation fade, and as the labor market strengthens further, the Committee expects inflation to rise to 2 percent over the next two to three years.",CHAIR YELLEN.
32,Our inflation outlook also rests importantly on our judgment that longer-run inflation expectations remain reasonably well anchored.,CHAIR YELLEN.
33,"However, we can’t take the stability of longer-run inflation expectations for granted.",CHAIR YELLEN.
34,"While most survey measures of longer-run inflation expectations show little change, on balance, in recent months, financial market measures of inflation compensation have declined.",CHAIR YELLEN.
