,Sentences,Speaker
0,"In my opening remarks, I will briefly review today’s policy decision of the Federal Open Market Committee, and I will place that decision in the context of our economic projections and our policy strategy.",None
1,I will then be glad to take your questions.,None
2,"As indicated in its statement, the Committee decided today to maintain the policies that were initiated at previous meetings.",None
3,"In particular, the Committee is keeping the target range for the federal funds rate at 0 to ¼ percent and continues to anticipate that economic conditions are likely to warrant exceptionally low levels for the federal funds rate at least through mid-2013.",None
4,The Committee will continue the program that we announced in September to extend the average maturity of the Federal Reserve’s holdings of securities by purchasing longer-term Treasury securities and selling an equal amount of shorter-term Treasury securities.,None
5,"Our purchases of longer-term securities exert downward pressures on longer-term interest rates; at the same time, our guidance about the likely path of the federal funds rate should limit the effect of our sales of shorter-term securities on shorter-term interest rates.",None
6,"Consequently, this maturity extension program should foster more accommodative financial conditions, thereby helping support a stronger recovery without changing the overall size of the Federal Reserve’s balance sheet.",None
7,"In addition, to further ease conditions in mortgage markets, we are continuing our previously announced program in which the principal payments from our holdings of agency debt and agency mortgage-backed securities are being reinvested in agency MBS.",None
8,"The Committee regularly reviews the size and composition of our securities holdings, and we are prepared to adjust those holdings as appropriate.",None
9,"economic growth, the unemployment rate, and the inflation rate for the years 2011 to 2014 and over the longer run.",None
10,The central tendencies and ranges of those projections are depicted in the figures that have been distributed.,None
11,"The longer-run projections—shown at the right side of each figure—represent participants’ assessments of the rate to which each variable will converge, over time, assuming appropriate monetary policy and no further shocks to the economy.",None
12,"The longer-run projections for growth of real GDP have a central tendency of 2.4 to 2.7 percent, and the longer-run projections for the unemployment rate have a central tendency of 5.2 to 6.0 percent.",None
13,"These projections can be interpreted, respectively, as participants’ estimates of the economy’s normal or trend rate of growth and its normal unemployment rate over the longer run.",None
14,"Because the economy's longer- run normal rates of output growth and unemployment are determined largely by nonmonetary factors that may evolve over time and that cannot often be directly measured, these estimates are inherently uncertain and subject to revision.",None
15,"The central tendency of the longer-run projections for inflation, as measured by the price index for personal consumption expenditures, is 1.7 to 2.0 percent.",None
16,"The inflation outlook over the longer run is determined almost entirely by monetary policy, and hence these projections essentially reflect participants’ judgments about the inflation rate that is most consistent with the Federal Reserve’s mandate of fostering maximum employment and stable prices.",None
17,"In effect, the “mandate-consistent” inflation rate is judged to be 2 percent or a bit less.",None
18,I turn now to the Committee’s economic outlook.,None
19,Participants’ projections for real GDP for 2011 as a whole have a central tendency of 1.6 to 1.7 percent.,None
20,"Output growth strengthened during the third quarter, reflecting in part a reversal of the temporary factors that had weighed on natural disaster in Japan have diminished.",None
21,"Moreover, the prices of oil and other commodities have come down from their peaks, easing strains on household budgets and contributing to a somewhat faster pace of consumer spending in recent months.",None
22,"The Committee expects only a moderate pace of economic growth over coming quarters, reflecting ongoing drags from the troubled housing sector, still-tight credit conditions for many households and smaller businesses, volatility in financial markets, fiscal consolidation at all levels of government, and other factors.",None
23,"Looking further ahead, economic growth is expected to pick up somewhat as a result of improving financial conditions, strengthening consumer and business confidence, and the continuation of a highly accommodative stance of monetary policy.",None
24,"Specifically, the central tendency of participants’ growth projections picks up gradually from 2.5 to 2.9 percent in 2012 to 3.0 to 3.9 percent by 2014.",None
25,"In light of the anticipated moderate pace of economic recovery, the Committee expects that the unemployment rate will decline only gradually over coming quarters.",None
26,Participants’ projections for the unemployment rate in the fourth quarter of 2012 have a central tendency of 8.5 to 8.7 percent—only about ½ percentage point lower than the latest monthly reading of 9.1 percent.,None
27,The unemployment rate is expected to climb further to 6.8 to 7.7 percent by the fourth quarter of 2014—still well above participants’ estimates of the longer-run normal rate of unemployment.,None
28,"In short, while we still expect that economic activity and labor market conditions will improve gradually over time, the pace of progress is likely to be frustratingly slow.",None
29,"Moreover, there are significant downside risks to the economic outlook.",None
30,"Most notably, concerns about European fiscal and banking issues have contributed to strains in global financial markets, which announced a number of steps to address those issues.",None
31,We will continue to monitor European developments closely.,None
32,I’ll turn now to the outlook for inflation.,None
33,The prices of oil and other commodities rose sharply earlier this year.,None
34,"Consumer inflation consequently picked up over the first half of 2011, reflecting higher prices of gasoline, food, and other goods and services for which producers passed higher input costs along to their customers.",None
35,"In addition, prices of motor vehicles surged in response to the global supply disruptions associated with the disaster in Japan.",None
36,"However, inflation appears to have moderated as those transitory influences have waned, and as low levels of resource utilization constrain rises in prices and wages.",None
37,"Furthermore, survey measures and market indicators imply that longer-term inflation expectations have remained stable.",None
38,"Consequently, the Committee anticipates that, over coming quarters, inflation will settle at or below its mandate-consistent rate of 2 percent or a bit less.",None
39,"Specifically, the central tendency of participants’ inflation projections is 2.7 to 2.9 percent for this year but declines to 1.4 to 2.0 percent in 2012 and remains subdued through 2014.",None
40,The Committee will continue to pay close attention to the evolution of inflation and inflation expectations.,None
41,The current economic outlook provides important context for understanding today’s policy decision.,None
42,The Committee’s mandate from the Congress is to seek maximum employment and price stability.,None
43,"With unemployment well above normal levels and expected to decline only slowly, and with inflation expected to remain at or below mandate-consistent levels, the Committee decided today to maintain the current high degree of monetary policy accommodation.",None
44,We will continue to assess the economic outlook in light of incoming economic recovery in a context of price stability.,None
45,"Finally, I would like to note that the Committee strives to explain its monetary policy decisions as clearly as possible, and we continue to explore ways of enhancing the clarity of our public communications.",None
46,"Specifically, we have been engaging in a series of discussions about potential approaches to providing the public additional information about our monetary policy goals and policy strategy, as well as about our outlook for the economy and for the future stance of monetary policy.",None
47,"However, no decisions about such approaches were made at this meeting.",None
48,"Thank you for your patience, and I would be happy to take your questions.",None
49,"Mr. Chairman, over the past several months, it seems there’s been increasing criticism of the Fed’s policy.",STEVE LIESMAN.
50,You received a letter on the eve of the September meeting urging you not to take action from the GOP leadership.,STEVE LIESMAN.
51,Several GOP presidential candidates have criticized Fed policy in the debates.,STEVE LIESMAN.
52,"On the first issue, do you feel that crossed the line?",STEVE LIESMAN.
53,Was it appropriate in terms of the concepts of the Fed’s independence?,STEVE LIESMAN.
54,"On the second question, what are the GOP presidential candidates not hearing or understanding about Fed policy, in your opinion?",STEVE LIESMAN.
55,"Well, politics is politics, and the Federal Reserve tries to stay nonpartisan and out of those debates.",CHAIRMAN BERNANKE.
