Sentence,label,price_change
"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us: maximum employment and price stability.",MINOR_DECREASE,-0.0060000000003128
Today my colleagues on the FOMC and I kept interest rates near zero and maintained our sizable asset purchases.,MINOR_INCREASE,0.0570000000006984
"These measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",MINOR_DECREASE,-0.2060000000001309
"Since the beginning of the year, indicators of economic activity and employment have strengthened.",MINOR_DECREASE,-0.1549999999997453
"As with overall economic activity, conditions in the labor market have continued to improve.",MINOR_DECREASE,-0.6940000000004147
"Employment rose 916,000 in March, as the leisure and hospitality sector posted a notable gain for the second consecutive month.",MINOR_DECREASE,-0.818000000000211
"Nonetheless, employment in this sector is still more than 3 million below its level at the onset of the pandemic.",MINOR_DECREASE,-0.0150000000003274
"For the economy as a whole, payroll employment is 8.4 million below its pre-pandemic level.",MINOR_DECREASE,-0.9819999999999708
"The unemployment rate remained elevated at 6 percent in March, and this figure understates the shortfall in employment, particularly as participation in the labor market remains notably below pre-pandemic levels.",MINOR_INCREASE,1.199999999999818
Readings on inflation have increased and are likely to rise somewhat further before moderating.,MINOR_INCREASE,0.009000000000924
"In the near term, 12-month measures of PCE inflation are expected to move above 2 percent as the very low readings from early in the pandemic fall out of the calculation and past increases in oil prices pass through to consumer energy prices.",MINOR_INCREASE,0.3570000000008804
"Beyond these effects, we are also likely to see upward pressure on prices from the rebound in spending as the economy continues to reopen, particularly if supply bottlenecks limit how quickly production can respond in the near term.",MINOR_DECREASE,-0.0119999999997162
"However, these one-time increases in prices are likely to have only transitory effects on inflation.",MINOR_DECREASE,-0.3480000000008658
"The Fed’s response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",MINOR_DECREASE,-0.2089999999998326
"As we say in our Statement on Longer-Run Goals and Monetary Policy Strategy, we view maximum employment as a broad-based and inclusive goal.",MINOR_INCREASE,0.1999999999998181
Our ability to achieve maximum employment in the years ahead depends importantly on having longer-term inflation expectations well anchored at 2 percent.,MINOR_DECREASE,-0.0090000000000145
"As the Committee reiterated in today’s policy statement, with inflation running persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent.",MINOR_INCREASE,0.6399999999994179
We expect to maintain an accommodative stance of monetary policy until these employment and inflation outcomes are achieved.,MINOR_INCREASE,0.0150000000003274
"With regard to interest rates, we continue to expect it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levels consistent with the Committee’s assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.",MINOR_INCREASE,0.6879999999991924
I would note that a transitory rise in inflation above 2 percent this year would not meet this standard.,MINOR_INCREASE,0.9879999999993744
"In addition, we will continue to increase our holdings of Treasury securities by at least $80 billion per month and of agency mortgage-backed securities by at least $40 billion per month until substantial further progress has been made toward our maximum-employment and price-stability goals.",MINOR_INCREASE,0.7910000000001673
Our guidance for interest rates and asset purchases ties the path of the federal funds rate and the size of the balance sheet to our employment and inflation goals.,MINOR_INCREASE,0.9939999999996872
This outcome-based guidance will ensure that the stance of monetary policy remains highly accommodative as the recovery progresses.,MAJOR_INCREASE,2.981999999999971
Economic activity and hiring have just recently picked up after slowing over the winter.,MAJOR_INCREASE,2.993999999999687
"But, you know, we’ve articulated particular guidance for tapering our asset purchases and for lifting off and raising interest rates.",MINOR_DECREASE,-0.9459999999990032
"For interest rates, as I—as I said a moment ago, we want to see labor market conditions consistent with maximum employment, we want to see inflation at 2 percent, and we want to see it on track to exceed 2 percent.",MINOR_DECREASE,-0.7000000000007276
"So it seems unlikely, frankly, that we would see inflation moving up in a persistent way that would actually move inflation expectations up while there was still significant slack in the labor market.",MINOR_INCREASE,0.3059999999995852
It’s much more likely that we would—having achieved maximum-employment conditions—we’d also be seeing 2 percent inflation and be on track to see inflation moving above 2 percent.,MINOR_DECREASE,-0.4549999999999272
"So that’s not to say inflation won’t—might not move up, but for inflation to move up in a persistent way that, that really starts to move inflation expectations up, that would have to—that would take some time.",MINOR_INCREASE,0.2060000000001309
"If it—if that actually were to happen, though, there is a—there’s a paragraph in the—in the Statement on Longer-Run Goals and Monetary Policy Strategy which says that when the two goals are somewhat in conflict, we weigh various factors, including the, the time it would take to get back and [so] forth.",MINOR_INCREASE,0.2399999999997817
"We’re, we’re really focused on the economic outcomes, and, again, my, my guess is that we—it’s very likely, it seems to me, that for us to achieve the economic outcomes, we would need to taper or to raise interest rates.",MAJOR_INCREASE,1.7969999999995707
"Notwithstanding that, we’re a long way from full employment.",NO_CHANGE,0.0
"And so, while I would say we haven’t seen really highly elevated levels of unemployment for—you know, up in the teens that we thought we might have for an extended period of time, we’ve still got a lot of people who are out to—out of work.",MINOR_INCREASE,0.2339999999994688
"There’s no question, though, that housing prices are going up, and so we’re watching that carefully.",MINOR_INCREASE,1.3060000000004948
"It’s, it’s partly because there’s, there’s clearly strong demand, and there’s just not a lot of supply right now.",MINOR_DECREASE,-0.1549999999997453
