,Sentences,Speaker
0,"Good afternoon, everyone, and welcome.",CHAIRMAN POWELL.
1,"I will start with a recap of our discussions, including our assessment of the outlook for the economy and the judgments we made about our interest rate policy and our balance sheet.",CHAIRMAN POWELL.
2,I will cover the decisions we made today as well as our ongoing discussions of matters on which we expect to make decisions in coming meetings.,CHAIRMAN POWELL.
3,"My colleagues and I have one overarching goal:  to sustain the economic expansion, with a strong job market and stable prices, for the benefit of the American people.",CHAIRMAN POWELL.
4,"The U.S. economy is in a good place, and we will continue to use our monetary policy tools to help keep it there.",CHAIRMAN POWELL.
5,"The jobs picture continues to be strong, with the unemployment rate near historic lows and with stronger wage gains.",CHAIRMAN POWELL.
6,Inflation remains near our 2 percent goal.,CHAIRMAN POWELL.
7,"We continue to expect that the American economy will grow at a solid pace in 2019, although likely slower than the very strong pace of 2018.",CHAIRMAN POWELL.
8,We believe that our current policy stance is appropriate at this time.,CHAIRMAN POWELL.
9,"Despite this positive outlook, over the past few months we have seen some crosscurrents and conflicting signals about the outlook.",CHAIRMAN POWELL.
10,"Growth has slowed in some major foreign economies, particularly in China and Europe.",CHAIRMAN POWELL.
11,"There is elevated uncertainty around several unresolved government policy issues, including Brexit, ongoing trade negotiations, and the effects from the partial government shutdown in the United States.",CHAIRMAN POWELL.
12,Financial conditions tightened considerably late in 2018 and remain less supportive of growth than they were earlier in 2018.,CHAIRMAN POWELL.
13,"And, while most of the incoming domestic economic data have been solid, some surveys of business and conditions and the outlook evolve, we take that new information into account in setting our policies.",CHAIRMAN POWELL.
14,We are now facing a somewhat contradictory picture of generally strong U.S. macroeconomic performance alongside growing evidence of crosscurrents.,CHAIRMAN POWELL.
15,"At such times, common-sense risk management suggests patiently awaiting greater clarity—an approach that has served policymakers well in the past.",CHAIRMAN POWELL.
16,"With that in mind, I’d like to spell out how the Federal Open Market Committee has been thinking about these issues.",CHAIRMAN POWELL.
17,"At our December meeting, we noted the solid outlook for steady growth, vigorous job creation, and price stability.",CHAIRMAN POWELL.
18,We also stressed that the extent and timing of any rate increases were uncertain and would depend on incoming data and the evolving outlook.,CHAIRMAN POWELL.
