,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us:  maximum employment and price stability.",CHAIR POWELL.
2,"Since the beginning of the pandemic, we have taken forceful actions to provide relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy.",CHAIR POWELL.
3,Today my colleagues on the FOMC and I kept interest rates near zero and maintained our sizable asset purchases.,CHAIR POWELL.
4,"These measures, along with our strong guidance on interest rates and our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",CHAIR POWELL.
5,The path of the economy continues to depend significantly on the course of the virus.,CHAIR POWELL.
6,"A resurgence in recent months in COVID-19 cases, hospitalizations, and deaths is causing great hardship for millions of Americans and is weighing on economic activity and job creation.",CHAIR POWELL.
7,"Following a sharp rebound in economic activity last summer, the pace of the recovery has moderated in recent months, with the weakness concentrated in the sectors of the economy most adversely affected by the resurgence of the virus and by greater social distancing.",CHAIR POWELL.
8,"Household spending on services remains low, especially in sectors that typically require people to gather closely, including travel and hospitality.",CHAIR POWELL.
9,And household spending on goods has moderated following earlier large gains.,CHAIR POWELL.
10,"In contrast, the housing sector has more than fully recovered from the downturn, supported in part by low mortgage interest rates.",CHAIR POWELL.
11,Business investment and manufacturing production have also picked up.,CHAIR POWELL.
12,"The overall recovery in economic activity since last spring is due in part to federal stimulus payments and expanded unemployment benefits, which have provided essential support to many families and individuals.",CHAIR POWELL.
13,The recently enacted Coronavirus support.,CHAIR POWELL.
14,"Overall economic activity remains below its level before the pandemic, and the path ahead remains highly uncertain.",CHAIR POWELL.
15,"As with overall economic activity, the pace of improvement in the labor market has slowed in recent months.",CHAIR POWELL.
16,"Employment fell by 140,000 in December, as continued gains in many industries were outweighed by significant losses in industries where the resurgence of the virus has weighed further on activity.",CHAIR POWELL.
17,"In particular, the leisure and hospitality sector lost nearly half a million jobs, largely from restaurants and bars.",CHAIR POWELL.
18,"The unemployment rate remained elevated at 6.7 percent in December, and participation in the labor market is notably below pre-pandemic levels.",CHAIR POWELL.
19,"Although there has been much progress in the labor market since the spring, millions of Americans remain out of work.",CHAIR POWELL.
20,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been the hardest hit.",CHAIR POWELL.
21,"In particular, the high level of joblessness has been especially severe for lower-wage workers in the service sector and for African Americans and Hispanics.",CHAIR POWELL.
22,The economic dislocation has upended many lives and created great uncertainty about the future.,CHAIR POWELL.
23,The pandemic has also left a significant imprint on inflation.,CHAIR POWELL.
24,"Following large declines in the spring, consumer prices picked up over the summer but have leveled out more recently.",CHAIR POWELL.
25,"For those sectors that have been most adversely affected by the pandemic, prices remain particularly soft.",CHAIR POWELL.
26,"Overall, on a 12-month basis, inflation remains below our 2 percent longer-run objective.",CHAIR POWELL.
27,"While we should not underestimate the challenges we currently face, several developments point to an improved outlook for later this year.",CHAIR POWELL.
28,Sufficiently widespread vaccinations would enable us to put the pandemic behind us and return to more normal economic activities.,CHAIR POWELL.
