Unnamed: 0.1,Unnamed: 0,Sentence,label,score,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us: maximum employment and price stability.",MINOR_DECREASE,0.978979468345642,2021-04-28 18:30:06.920000+00:00,2021-04-28 18:30:07+00:00,2021-04-28 18:30:16+00:00,1.21009,1.21019,-9.9999999999989e-05,4187.942,4187.948,-0.0060000000003128
1,1,Today my colleagues on the FOMC and I kept interest rates near zero and maintained our sizable asset purchases.,NO_CHANGE,0.994732141494751,2021-04-28 18:30:15.640000+00:00,2021-04-28 18:30:16+00:00,2021-04-28 18:30:24+00:00,1.2100700000000002,1.2100700000000002,0.0,4187.999000000001,4187.942,0.0570000000006984
2,2,"These measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",NO_CHANGE,0.998421311378479,2021-04-28 18:30:23.720000+00:00,2021-04-28 18:30:24+00:00,2021-04-28 18:30:46+00:00,1.2100700000000002,1.2100700000000002,0.0,4187.439,4187.645,-0.2060000000001309
3,3,"Since the beginning of the year, indicators of economic activity and employment have strengthened.",MINOR_INCREASE,0.9886772632598876,2021-04-28 18:30:46.360000+00:00,2021-04-28 18:30:46+00:00,2021-04-28 18:31:58+00:00,1.21022,1.21011,0.00011,4187.499000000001,4187.654,-0.1549999999997453
4,4,"As with overall economic activity, conditions in the labor market have continued to improve.",MINOR_DECREASE,0.9947286248207092,2021-04-28 18:31:58.240000+00:00,2021-04-28 18:31:58+00:00,2021-04-28 18:32:03+00:00,1.21009,1.2102000000000002,-0.00011,4186.451,4187.145,-0.6940000000004147
5,5,"Employment rose 916,000 in March, as the leisure and hospitality sector posted a notable gain for the second consecutive month.",MINOR_INCREASE,0.94633287191391,2021-04-28 18:32:03.240000+00:00,2021-04-28 18:32:03+00:00,2021-04-28 18:32:09+00:00,1.21009,1.21002,7.00000000000145e-05,4186.136,4186.954000000001,-0.818000000000211
6,6,"Nonetheless, employment in this sector is still more than 3 million below its level at the onset of the pandemic.",MINOR_INCREASE,0.9983277916908264,2021-04-28 18:32:09.040000+00:00,2021-04-28 18:32:09+00:00,2021-04-28 18:32:18+00:00,1.21009,1.21008,1.0000000000065512e-05,4186.439,4186.454000000001,-0.0150000000003274
7,7,"For the economy as a whole, payroll employment is 8.4 million below its pre-pandemic level.",MINOR_INCREASE,0.9990455508232116,2021-04-28 18:32:18.480000+00:00,2021-04-28 18:32:18+00:00,2021-04-28 18:32:26+00:00,1.21012,1.21008,4.000000000004e-05,4185.451,4186.433,-0.9819999999999708
8,8,"The unemployment rate remained elevated at 6 percent in March, and this figure understates the shortfall in employment, particularly as participation in the labor market remains notably below pre-pandemic levels.",MINOR_DECREASE,0.9992275238037108,2021-04-28 18:32:25.600000+00:00,2021-04-28 18:32:26+00:00,2021-04-28 18:33:11+00:00,1.2100700000000002,1.2101,-2.9999999999752447e-05,4186.639,4185.439,1.199999999999818
9,9,Readings on inflation have increased and are likely to rise somewhat further before moderating.,NO_CHANGE,0.998823583126068,2021-04-28 18:33:11.080000+00:00,2021-04-28 18:33:11+00:00,2021-04-28 18:33:16+00:00,1.2100700000000002,1.2100700000000002,0.0,4186.454000000001,4186.445,0.009000000000924
10,10,"In the near term, 12-month measures of PCE inflation are expected to move above 2 percent as the very low readings from early in the pandemic fall out of the calculation and past increases in oil prices pass through to consumer energy prices.",MINOR_DECREASE,0.9972832202911376,2021-04-28 18:33:16.120000+00:00,2021-04-28 18:33:16+00:00,2021-04-28 18:33:32+00:00,1.20992,1.20998,-5.999999999994898e-05,4186.499000000001,4186.142,0.3570000000008804
11,11,"Beyond these effects, we are also likely to see upward pressure on prices from the rebound in spending as the economy continues to reopen, particularly if supply bottlenecks limit how quickly production can respond in the near term.",MINOR_INCREASE,0.9995052814483644,2021-04-28 18:33:32.240000+00:00,2021-04-28 18:33:32+00:00,2021-04-28 18:33:46+00:00,1.20998,1.2099700000000002,9.999999999843467e-06,4186.433,4186.445,-0.0119999999997162
12,12,"However, these one-time increases in prices are likely to have only transitory effects on inflation.",MINOR_INCREASE,0.9992135763168336,2021-04-28 18:33:45.640000+00:00,2021-04-28 18:33:46+00:00,2021-04-28 18:33:55+00:00,1.21003,1.20998,4.999999999988347e-05,4186.151,4186.499000000001,-0.3480000000008658
13,13,"The Fed’s response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",MINOR_DECREASE,0.5631232261657715,2021-04-28 18:33:55.440000+00:00,2021-04-28 18:33:55+00:00,2021-04-28 18:34:05+00:00,1.2099700000000002,1.20998,-9.999999999843467e-06,4185.942,4186.151,-0.2089999999998326
