,Sentences,Speaker
0,(FOMC) concluded a two-day meeting earlier today.,None
1,"As you already know from our statement, the Committee decided today to keep the target range for the federal funds rate at 0 to ¼ percent and to make no change in either its asset purchase program or its forward guidance regarding the federal funds rate target.",None
2,I will discuss the rationales for our decision in a moment.,None
3,"Economic growth has generally been proceeding at a moderate pace, with continued—albeit somewhat uneven—improvement in labor market conditions.",None
4,"Of course, to say that the job market has improved does not imply that current conditions are satisfactory.",None
5,"Notably, at 7.3 percent, the unemployment rate remains well above acceptable levels.",None
6,Long-term unemployment and underemployment remain high.,None
7,"And we have seen ongoing declines in labor force participation, which likely reflects discouragement on the part of many potential workers as well as longer-term influences, such as the aging of the population.",None
8,"In the Committee’s assessment, the downside risks to growth have diminished, on net, over the past year, reflecting, among other factors, somewhat better economic and financial conditions in Europe and increased confidence on the part of households and firms in the staying power of the U.S. recovery.",None
9,"However, the tightening of financial conditions observed in recent months, if sustained, could slow the pace of improvement in the economy and the labor market.",None
10,"In addition, federal fiscal policy continues to be an important restraint on growth and a source of downside risk.",None
11,"Apart from some fluctuations due primarily to changes in oil prices, inflation has continued to run below the Committee’s 2 percent longer-term objective.",None
12,"The Committee unwinding of some transitory factors has led to moderately higher inflation recently, as expected.",None
13,"And, with longer-term inflation expectations well anchored, the Committee anticipates that inflation will gradually move back toward 2 percent.",None
14,"In conjunction with this meeting, the 17 participants in our policy discussions—5 Board members and 12 Reserve Bank presidents—submitted individual economic projections.",None
15,"As always, each participant’s projections are conditioned on his or her own view of appropriate monetary policy.",None
16,"Also, at this meeting, we extended the horizon of our projections through 2016.",None
17,"Generally, the projections of individual participants show that they continue to expect moderate economic growth, picking up over time, as well as gradual progress towards levels of unemployment and inflation, consistent with the Federal Reserve’s statutory mandate to foster maximum employment and price stability.",None
18,"More specifically, participants’ projections for economic growth have a central tendency of 2.0 to 2.3 percent for 2013, rising to 2.9 to 3.1 percent in 2014 and 2.5 to 3.3 percent in 2016.",None
19,"For the unemployment rate, the central tendency of projections for the fourth quarter of each year is 7.1 to 7.3 percent for 2013, declining to 6.4 to 6.8 percent in 2014 and, by 2016, to 5.4 to 5.9 percent—about the longer-run normal level for the unemployment rate.",None
20,Most participants see inflation gradually increasing from its current low level toward the Committee’s longer-run objective of 2 percent.,None
21,"The central tendency of their projections for inflation is 1.1 to 1.2 percent for this year, 1.3 to 1.8 percent for 2014, and 1.7 to 2.0 percent in 2016.",None
22,"With unemployment still elevated and inflation projected to run below the Committee’s term policy interest rate, the federal funds rate.",None
23,"However, the target range for the federal funds rate, currently at 0 to ¼ percent, cannot be lowered meaningfully further.",None
24,"Accordingly, the Committee has been providing policy support to the economy through two complementary methods:  by purchasing and holding Treasury securities and agency mortgage-backed securities and by communicating the Committee’s plans for setting the federal funds rate target over the medium term.",None
25,"I’ll discuss these tools in turn, beginning with our program of asset purchases.",None
26,"In September 2012, the FOMC initiated a program of purchasing $40 billion per month in agency mortgage-backed securities, in addition to the $45 billion per month in longer-term Treasury securities that we were already acquiring as part of our maturity extension program.",None
27,"We stated that, subject to our ongoing assessment of the efficacy and costs of the program, purchases would continue until we saw a substantial improvement in the outlook for the labor market in a context of price stability.",None
28,"In December 2012, we announced that we would continue to purchase $45 billion per month in longer-term Treasuries after the maturity extension program ended later that month.",None
29,"Thus, our total purchases of longer-term securities were maintained at $85 billion per month, in addition to the reinvestment or rolling over of maturing securities on our balance sheet.",None
30,"The Committee agreed today to continue asset purchases at that rate, subject to the same conditions that we laid out a year ago.",None
31,"Because the Committee tied its asset purchases to the outlook for the labor market, it’s important to assess how that outlook has evolved.",None
32,"As I noted earlier, conditions in the job market today are still far from what all of us would like to see.",None
33,"Nevertheless, meaningful progress has been made in the year since we announced the asset purchase program.",None
34,For period.,None
35,"Over the past 12 months, aggregate hours of work are up by about 2.4 percent, weekly new claims for unemployment insurance have fallen by about 50,000, and surveys suggest that households perceive jobs as more readily available.",None
