,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,I would like to start by noting that it has been a full year since the pandemic arrived with force on our shores.,CHAIR POWELL.
2,"Looking back, it was clear that addressing a fast-moving global pandemic would be plainly and primarily the realm of health-care providers and experts, and we are grateful to them and to all the essential workers for their service and sacrifice.",CHAIR POWELL.
3,The danger to the U.S. economy was also clear.,CHAIR POWELL.
4,"Congress provided by far the fastest and largest response to any postwar economic downturn, offering fiscal support for households, businesses, health-care providers, and state and local governments.",CHAIR POWELL.
5,"Here at the Federal Reserve, we rapidly deployed our full range of tools to provide relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy.",CHAIR POWELL.
6,We are strongly committed to achieving the monetary policy goals that Congress has given us:  maximum employment and price stability.,CHAIR POWELL.
7,"The economic fallout has been real and widespread, but with the benefit of perspective, we can say that some of the very worst economic outcomes have been avoided by swift and forceful action—from Congress, from across government, and in cities and towns across the country.",CHAIR POWELL.
8,"More people held on to their jobs, more businesses kept their doors open, and more incomes were saved as a result of these swift and forceful policy actions.",CHAIR POWELL.
9,"And while we welcome these positive developments, no one should be complacent.",CHAIR POWELL.
10,"At the Fed, we will continue to provide the economy the support that it needs for as long as it takes.",CHAIR POWELL.
11,Today the FOMC kept interest rates near zero and maintained our sizable asset purchases.,CHAIR POWELL.
12,"These measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",CHAIR POWELL.
13,The path of the economy continues to depend significantly on the course of the virus and the measures undertaken to control its spread.,CHAIR POWELL.
14,"Since January, the number of new cases, hospitalizations, and deaths has fallen, and ongoing vaccinations offer hope for a return to more normal conditions later this year.",CHAIR POWELL.
15,"In the meantime, continued observance of social-distancing measures and wearing masks will help us reach that goal as soon as possible.",CHAIR POWELL.
16,"The economic recovery remains uneven and far from complete, and the path ahead remains uncertain.",CHAIR POWELL.
17,"Following the moderation in the pace of the recovery that began toward the end of last year, indicators of economic activity and employment have turned up recently, although the sectors of the economy most adversely affected by the resurgence of the virus and by greater social distancing remain weak.",CHAIR POWELL.
18,Household spending on goods has risen notably so far this year.,CHAIR POWELL.
19,"In contrast, household spending on services remains low, especially in services that typically require people to gather closely, including travel and hospitality.",CHAIR POWELL.
20,"The housing sector has more than fully recovered from the downturn, while business investment and manufacturing production have also picked up.",CHAIR POWELL.
21,"The overall recovery in economic activity since last spring is due importantly to unprecedented fiscal and monetary policy actions, which have provided essential support to households, businesses, and communities.",CHAIR POWELL.
22,"The recovery has progressed more quickly than generally expected, and forecasts from FOMC participants for economic growth this year have been revised up notably since our December Summary of Economic Projections.",CHAIR POWELL.
23,"In commenting on the stronger outlook, participants noted progress on vaccinations as well as recent fiscal policy.",CHAIR POWELL.
24,"As with overall economic activity, conditions in the labor market have turned up recently.",CHAIR POWELL.
25,"Employment rose by 379,000 in February, as the leisure and hospitality sector recouped about two-thirds of the jobs that were lost in December and January.",CHAIR POWELL.
26,"Nonetheless, employment in this sector is more than 3 million below its level at the onset of the pandemic.",CHAIR POWELL.
27,"For the economy as a whole, employment is 9.5 million below its pre-pandemic level.",CHAIR POWELL.
28,"The unemployment rate remains elevated at 6.2 percent in February; this figure understates the shortfall in employment, particularly as participation in the labor market remains notably below pre-pandemic levels.",CHAIR POWELL.
29,"Looking ahead, FOMC participants project the unemployment rate to continue to decline; the median projection is 4.5 percent at the end of this year and moves down to 3.5 percent by the end of 2023.",CHAIR POWELL.
30,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been the hardest hit.",CHAIR POWELL.
31,"In particular, the high level of joblessness has been especially severe for lower-wage workers in the service sector and for African Americans and Hispanics.",CHAIR POWELL.
32,The economic dislocation has upended many lives and created great uncertainty about the future.,CHAIR POWELL.
33,Overall inflation remains below our 2 percent longer-run objective.,CHAIR POWELL.
34,"Over the next few months, 12-month measures of inflation will move up as the very low readings from March and April of last year fall out of the calculation.",CHAIR POWELL.
35,"Beyond these base effects, we could also see upward pressure on prices if spending rebounds quickly as the economy continues to reopen, particularly if supply bottlenecks limit how quickly production can respond in the near term.",CHAIR POWELL.
36,"However, these one-time increases in prices are likely to have only transient effects on inflation.",CHAIR POWELL.
37,The median inflation projection of FOMC participants is 2.4 percent this year and declines to 2 percent next year before moving back up by the end of 2023.,CHAIR POWELL.
38,"The Fed’s response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the financial—the stability of the financial system.",CHAIR POWELL.
39,"As we say in our Statement on Longer-Run Goals and Monetary Policy Strategy, we view maximum employment as a “broad-based and inclusive goal.”  Our ability to achieve maximum employment in the years ahead depends importantly on having longer-term inflation expectations well anchored at 2 percent.",CHAIR POWELL.
40,"As the Committee reiterated in today’s policy statement, with inflation running persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent.",CHAIR POWELL.
41,We expect to maintain an accommodative stance of monetary policy until these employment and inflation outcomes are achieved.,CHAIR POWELL.
42,"With regard to interest rates, we continue to expect it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levels consistent with the Committee’s assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.",CHAIR POWELL.
43,"I would note that a transitory rise in inflation above 2 percent, as seems likely to occur this year, would not meet this standard.",CHAIR POWELL.
44,"In addition, we will continue to increase our holdings of Treasury securities by at least $80 billion per month and of agency mortgage-backed securities by at least $40 billion per month until substantial further progress has been made toward our maximum-employment and price-stability goals.",CHAIR POWELL.
45,The increase in our balance sheet since last March has materially eased financial conditions and is providing substantial support to the economy.,CHAIR POWELL.
46,"The economy is a long way from our employment and inflation goals, and it is likely to take some time for substantial further progress to be achieved.",CHAIR POWELL.
47,"Our forward guidance for the federal funds rate, along with our balance sheet guidance, will ensure that the stance of monetary policy remains highly accommodative as the recovery progresses.",CHAIR POWELL.
48,Our guidance is outcome based and ties the path of the federal funds rate and the balance sheet to progress toward reaching our employment and inflation goals.,CHAIR POWELL.
49,"Overall, our interest rate and balance sheet tools are providing powerful support to the economy and will continue to do so.",CHAIR POWELL.
50,"To conclude, we understand that our actions affect communities, families, and businesses across the country.",CHAIR POWELL.
51,Everything we do is in service to our public mission.,CHAIR POWELL.
52,We are committed to using our full range of tools to support the economy and to help assure that the recovery from this difficult period will be as robust as possible.,CHAIR POWELL.
53,Thank you.,CHAIR POWELL.
54,I look forward to your questions.,CHAIR POWELL.
55,Howard from Reuters.,JOE PAVEL.
56,"Hi, Chair Powell, and, and thanks for that.",HOWARD SCHNEIDER.
57,"So could you talk us through how the, the forecasts for 2021 map into the “substantial further progress” definition—you know, 2.4 percent inflation—I understand that’s considered transitory.",HOWARD SCHNEIDER.
58,"That still seems like some progress there, 4½ percent unemployment.",HOWARD SCHNEIDER.
59,Is it time to start talking about talking about tapering yet?,HOWARD SCHNEIDER.
60,[Laughter]  Not yet.,CHAIR POWELL.
