,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us—maximum employment and price stability.",CHAIR POWELL.
2,"Since the beginning of the pandemic, we have taken forceful actions to provide relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy.",CHAIR POWELL.
3,Today my colleagues on the FOMC and I reaffirmed our strong forward guidance for interest rates and also provided additional guidance for our asset purchases.,CHAIR POWELL.
4,"Together, these measures will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",CHAIR POWELL.
5,Economic activity has continued to recover from its depressed second-quarter level.,CHAIR POWELL.
6,"The substantial reopening of the economy led to a rapid rebound in activity, and real GDP rose at an annual rate of 33 percent in the third quarter.",CHAIR POWELL.
7,"In recent months, however, the pace of improvement has moderated.",CHAIR POWELL.
8,"Household spending on goods, especially durable goods, has been strong and has moved above its pre-pandemic level.",CHAIR POWELL.
9,"In contrast, spending on services remains low, especially in sectors that typically require people to gather closely, including travel and hospitality.",CHAIR POWELL.
10,"The overall rebound in household spending owes in part to federal stimulus payments and expanded unemployment benefits, which provided essential support to many families and individuals.",CHAIR POWELL.
11,"The housing sector has fully recovered from the downturn, supported in part by low mortgage interest rates.",CHAIR POWELL.
12,Business investment has also picked up.,CHAIR POWELL.
13,"The recovery has progressed more quickly than generally expected, and forecasts from FOMC participants for economic growth this year have been revised up since our September Summary of Economic Projections.",CHAIR POWELL.
14,"Even so, overall economic activity remains well below its level before the pandemic, and the path ahead remains highly uncertain.",CHAIR POWELL.
15,"In the labor market, more than half of the 22 million jobs that were lost in March and April have been regained, as many people were able to return to work.",CHAIR POWELL.
16,"As with overall economic activity, the pace of improvement in the labor market has moderated.",CHAIR POWELL.
17,"Job growth slowed to 245,000 in November, and while the unemployment rate has continued to decline, it remains elevated at 6.7 percent.",CHAIR POWELL.
18,Participation in the labor market remains notably below pre-pandemic levels.,CHAIR POWELL.
19,"Although there has been much progress in the labor market since the spring, we will not lose sight of the millions of Americans who remain out of work.",CHAIR POWELL.
20,"Looking ahead, FOMC participants project the unemployment rate to continue to decline; the median projection is 5 percent at the end of next year and moves below 4 percent by 2023.",CHAIR POWELL.
21,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been the hardest hit.",CHAIR POWELL.
22,"In particular, the high level of joblessness has been especially severe for lower-wage workers in the service sector and for African Americans and Hispanics.",CHAIR POWELL.
23,The economic dislocation has upended many lives and created great uncertainty about the future.,CHAIR POWELL.
24,The pandemic has also left a significant imprint on inflation.,CHAIR POWELL.
25,"Following large declines in the spring, consumer prices picked up over the summer but have leveled out more recently.",CHAIR POWELL.
26,"For those sectors that have been most adversely affected by the pandemic, prices remain particularly soft.",CHAIR POWELL.
27,"Overall, on a 12-month basis, inflation remains below our 2 percent longer-run objective.",CHAIR POWELL.
28,The median inflation projection from FOMC participants rises from 1.2 percent this year to 1.8 percent next year and reaches 2 percent in 2023.,CHAIR POWELL.
