,Sentences,Speaker
0,"Good afternoon, everyone, and welcome.",CHAIR POWELL.
1,I will begin with an overview of economic conditions and an explanation of the decisions the Committee made at today’s meeting.,CHAIR POWELL.
2,"My colleagues and I have one overarching goal:  to sustain the economic expansion, with a strong job market and stable prices, for the benefit of the American people.",CHAIR POWELL.
3,"The U.S. economy is in a good place, and we will continue to use our monetary policy tools to help keep it there.",CHAIR POWELL.
4,"The jobs market is strong, showing healthier wage gains and prompting many people to join or remain in the workforce.",CHAIR POWELL.
5,"The unemployment rate is near historic lows, and inflation remains near our 2 percent goal.",CHAIR POWELL.
6,"We continue to expect that the American economy will grow at a solid pace in 2019, although likely slower than the very strong pace of 2018.",CHAIR POWELL.
7,We believe that our current policy stance is appropriate.,CHAIR POWELL.
8,"Since last year, however, we have noted some developments at home and around the world that bear close attention.",CHAIR POWELL.
9,"Given the overall favorable conditions in our economy, my colleagues and I will be patient in assessing what, if any, changes in the stance of policy may be needed.",CHAIR POWELL.
10,Let me explain in more detail how incoming data warrant our current stance and a wait-and-see approach to changes.,CHAIR POWELL.
11,"With the benefit of fiscal stimulus and other tailwinds, growth in 2018 was strong—in fact, at 3.1 percent, the strongest year in more than a decade.",CHAIR POWELL.
12,"For some time, most forecasts have called for growth to continue in 2019 at a somewhat lower but still healthy pace.",CHAIR POWELL.
13,"For example, last September, Committee participants saw growth coming in at about 2.5 percent this year.",CHAIR POWELL.
14,Data arriving since September suggest that growth is slowing somewhat more than expected.,CHAIR POWELL.
15,Financial conditions tightened considerably over the fourth quarter.,CHAIR POWELL.
16,"While conditions have eased since then, they remain less supportive of growth than during most of 2018.",CHAIR POWELL.
17,"Growth has slowed in some foreign economies—notably, in Europe and China.",CHAIR POWELL.
18,"While the U.S. economy showed little evidence of slowdown through the end of 2018, the limited data we have so far this year have been somewhat more mixed.",CHAIR POWELL.
19,Unusually strong payroll job growth in January was followed by little growth at all in February.,CHAIR POWELL.
20,"Smoothing through these variations, average monthly job growth appears to have stepped down from last year’s strong pace, but job gains remain well above the pace necessary to provide jobs for new labor force entrants.",CHAIR POWELL.
21,Many other labor market indicators continue to show strength.,CHAIR POWELL.
22,"Weak retail sales data for December bounced back considerably in January but, on balance, seem to point to somewhat slower growth in consumer spending.",CHAIR POWELL.
23,Business fixed investment also appears to be growing at a slower pace than last year.,CHAIR POWELL.
24,"Inflation has been muted, and some indicators of longer-term inflation expectations remain at the low end of their ranges in recent years.",CHAIR POWELL.
25,"Along with these developments, unresolved policy issues, such as Brexit and the ongoing trade negotiations, pose some risks to the outlook.",CHAIR POWELL.
26,Much of the discussion at our meeting focused on what we should make of the varied indicators.,CHAIR POWELL.
27,"Today’s Summary of Economic Projections, the SEP, reflects the assessments of individual Committee participants.",CHAIR POWELL.
28,"And these views are in line with a broad range of other forecasts and point to a modest slowdown, with overall conditions remaining favorable.",CHAIR POWELL.
29,"FOMC participants sought—now see 2019 growth at roughly 2 percent, with the unemployment rate remaining below 4 percent.",CHAIR POWELL.
30,"Core inflation, which omits the effects of volatile food and energy prices, remains close to 2 percent.",CHAIR POWELL.
31,"Declines in oil prices since last fall are expected to push headline inflation below 2 percent for a time, but this effect is likely to be temporary.",CHAIR POWELL.
32,"Now, I’m describing views of the most likely outcomes, but historical experience reminds us that growth and inflation this year could be stronger or weaker than what we now project.",CHAIR POWELL.
33,The federal funds rate is now in the broad range of estimates of neutral—the rate that tends neither to stimulate nor to restrain the economy.,CHAIR POWELL.
34,"As I noted, my colleagues and I think that this setting is well suited to the current outlook and believe that we should be patient in assessing the need for any change in the stance of policy.",CHAIR POWELL.
35,“Patient” means that we see no need to rush to judgment.,CHAIR POWELL.
36,It may be some time before the outlook for jobs and inflation calls clearly for a change in policy.,CHAIR POWELL.
37,"In discussing the Committee’s projections, it’s useful to note what those projections are, as well as what they are not.",CHAIR POWELL.
38,"The SEP includes participants’ individual projections of the most likely economic scenario, along with their views of the appropriate path of the federal funds rate in that scenario.",CHAIR POWELL.
39,Views about the most likely scenario form one input into our policy discussions.,CHAIR POWELL.
40,"We also discuss other plausible scenarios, including the risk of more worrisome outcomes.",CHAIR POWELL.
41,These and other scenarios and many other considerations go into policy but are not reflected in projections of the most likely case.,CHAIR POWELL.
