,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us—maximum employment and price stability.",CHAIR POWELL.
2,"Since the beginning of the pandemic, we have taken forceful actions to provide some relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy.",CHAIR POWELL.
3,"Today my colleagues on the Federal Open Market Committee and I made some important changes to our policy statement, including an update to our guidance for the likely path of our policy interest rate.",CHAIR POWELL.
4,"Guided by our new Statement on Longer-Run Goals and Monetary Policy Strategy that we announced a few weeks ago, these changes clarify our strong commitment over a longer time horizon.",CHAIR POWELL.
5,"Before describing today’s policy actions, let me briefly review recent economic developments.",CHAIR POWELL.
6,"Economic activity has picked up from its depressed second-quarter level, when much of the economy was shut down to stem the spread of the virus.",CHAIR POWELL.
7,"With the reopening of many businesses and factories and fewer people withdrawing from social interactions, household spending looks to have recovered about three-quarters of its earlier decline.",CHAIR POWELL.
8,"Nonetheless, spending on services that typically require people to gather closely, including travel and hospitality, is still quite weak.",CHAIR POWELL.
9,"The recovery in household spending also likely owes to federal stimulus payments and expanded unemployment benefits, which provided substantial and timely support to household incomes.",CHAIR POWELL.
10,"Activity in the housing sector has returned to its level at the beginning of the year, and we are starting to see signs of an improvement in business investment.",CHAIR POWELL.
11,"The recovery has progressed more quickly than generally expected, and forecasts from FOMC participants for economic growth this year have been revised up since our June Summary of Economic Projections.",CHAIR POWELL.
12,"Even so, overall activity remains well below its level before the pandemic and the path ahead remains highly uncertain.",CHAIR POWELL.
13,"In the labor market, roughly half of the 22 million jobs that were lost in March and April have been regained as many people returned to work.",CHAIR POWELL.
14,The unemployment rate declined over the past four months but remains elevated at 8.4 percent as of August.,CHAIR POWELL.
15,"Although we welcome this progress, we will not lose sight of the millions of Americans who remain out of work.",CHAIR POWELL.
16,"Looking ahead, FOMC participants project the unemployment rate to continue to decline; the median projection is 7.6 percent at the end of this year, 5.5 percent next year, and 4 percent by 2023.",CHAIR POWELL.
17,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been hardest hit.",CHAIR POWELL.
18,"In particular, the high level of joblessness has been especially severe for lower-wage workers in the services sector, for women, and for African Americans and Hispanics.",CHAIR POWELL.
19,The economic dislocation has upended many lives and created great uncertainty about the future.,CHAIR POWELL.
20,The pandemic has also left a significant imprint on inflation.,CHAIR POWELL.
21,"For some goods, including food, supply constraints have led to notably higher prices, adding to the burden for those struggling with lost income.",CHAIR POWELL.
22,"More broadly, however, weaker demand, especially in sectors that have been most affected by the pandemic, has held down consumer prices, and overall, inflation is running well below our 2 percent longer-run objective.",CHAIR POWELL.
23,The median inflation projection from FOMC participants rises from 1.2 percent this year to 1.7 percent next year and reaches 2 percent in 2023.,CHAIR POWELL.
24,"As the economy began its recovery, COVID-19 cases, hospitalizations, and deaths also rose.",CHAIR POWELL.
25,The reimposition of some social-distancing restrictions as well as more cautious behavior by many individuals have succeeded in slowing the spread of the virus.,CHAIR POWELL.
