,Sentences,Speaker
0,Good afternoon.,CHAIRMAN BERNANKE.
1,Earlier today the Federal Open Market Committee (FOMC) approved new measures to support the recovery and employment growth.,CHAIRMAN BERNANKE.
2,"I’ll get to the specifics of our actions in a few moments, but I’ll first describe the economic conditions that motivated the Committee’s decision to take additional actions.",CHAIRMAN BERNANKE.
3,"As you know, the Federal Reserve conducts monetary policy under a dual mandate from Congress to promote maximum employment and price stability.",CHAIRMAN BERNANKE.
4,The United States has enjoyed broad price stability since the mid-1990s and continues to do so today.,CHAIRMAN BERNANKE.
5,"The employment situation, however, remains a grave concern.",CHAIRMAN BERNANKE.
6,"While the economy appears to be on a path of moderate recovery, it isn’t growing fast enough to make significant progress reducing the unemployment rate.",CHAIRMAN BERNANKE.
7,Fewer than half of the 8 million jobs lost in the recession have been restored.,CHAIRMAN BERNANKE.
8,"And, at 8.1 percent, the unemployment rate is nearly unchanged since the beginning of the year and is well above normal levels.",CHAIRMAN BERNANKE.
9,The weak job market should concern every American.,CHAIRMAN BERNANKE.
10,"High unemployment imposes hardship on millions of people, and it entails a tremendous waste of human skills and talents.",CHAIRMAN BERNANKE.
11,"Five million Americans have been unemployed for more than six months, and millions more have left the labor force—many of them doubtless because they have given up on finding suitable work.",CHAIRMAN BERNANKE.
12,"As the skills of the long-term unemployed atrophy and as their connections to the labor market wither, they may find it increasingly difficult to get good jobs, to their and their families’ cost, of course, but also to the detriment of our nation’s productive potential.",CHAIRMAN BERNANKE.
13,"To help bolster the recovery and promote price stability, the FOMC has provided monetary policy—balance sheet actions and forward guidance regarding how long we anticipate maintaining exceptional levels of policy accommodation.",CHAIRMAN BERNANKE.
14,"While providing this support, we have been prudent, carefully weighing the potential benefits and costs of each new policy action, and recognizing that monetary policy, particularly in the current circumstances, cannot cure all economic ills.",CHAIRMAN BERNANKE.
15,The FOMC has taken several actions this year.,CHAIRMAN BERNANKE.
16,"In January, it extended its forward guidance, stating that it anticipated that the federal funds rate will remain near current levels until late 2014.",CHAIRMAN BERNANKE.
17,"In June, the Committee decided to continue through the end of the year the previously established program to extend the average maturity of the securities it holds by buying longer-term securities and selling an equivalent amount of shorter-term securities.",CHAIRMAN BERNANKE.
18,"However, incoming data confirm that the modest pace of growth continues to be inadequate to generate much progress on unemployment.",CHAIRMAN BERNANKE.
19,"With inflation anticipated to run at or below our 2 percent objective, the Committee has become convinced that further policy accommodation is warranted to strengthen the recovery and support the gains we have begun to see in housing and other sectors.",CHAIRMAN BERNANKE.
20,"Accordingly, the FOMC decided today on new actions, electing to expand its purchases of securities and extend its forward guidance regarding the federal funds rate.",CHAIRMAN BERNANKE.
21,"Specifically, the Committee decided to purchase additional agency mortgage-backed securities, or MBS, at a pace of $40 billion per month.",CHAIRMAN BERNANKE.
22,The new MBS purchases—combined with the existing maturity extension program and the continued reinvestment of principal payments from agency debt and agency MBS already on our balance sheet—will result in an increase in our holdings of longer-term securities of about $85 billion each month for the remainder of the year.,CHAIRMAN BERNANKE.
23,The program of housing sector by encouraging home purchases and refinancing.,CHAIRMAN BERNANKE.
24,The Committee also took two steps to underscore its commitment to ongoing support for the recovery.,CHAIRMAN BERNANKE.
25,"First, the Committee will closely monitor incoming information on economic and financial developments in coming months, and if we do not see substantial improvement in the outlook for the labor market, we will continue the MBS purchase program, undertake additional asset purchases, and employ our policy tools as appropriate until we do.",CHAIRMAN BERNANKE.
26,We will be looking for the sort of broad-based growth in jobs and economic activity that generally signal sustained improvement in labor market conditions and declining unemployment.,CHAIRMAN BERNANKE.
27,"Of course, in determining the size, pace, and composition of any additional asset purchases, we will, as always, take appropriate account of the inflation outlook and of their efficacy and costs.",CHAIRMAN BERNANKE.
28,"Additionally, the Committee emphasized that it expects a highly accommodative stance of monetary policy to remain appropriate for a considerable time after the economic recovery strengthens.",CHAIRMAN BERNANKE.
29,This should provide greater assurance to households and businesses that policy accommodation will remain even as the economy picks up.,CHAIRMAN BERNANKE.
30,"In particular, the Committee today kept the target range for the federal funds rate at 0 to ¼ percent and stated that it anticipates that exceptionally low levels for the federal funds rate are likely to be warranted at least through mid-2015.",CHAIRMAN BERNANKE.
31,"In conjunction with today’s meeting, FOMC participants—the 7 Board members and 12 Reserve Bank presidents—submitted their individual economic projections and policy assessments for the years 2012 through 2015 and over the longer run.",CHAIRMAN BERNANKE.
32,Committee participants’ projections for the unemployment rate in the fourth quarter of this year have a central tendency Participants’ projections of inflation have a central tendency of 1.7 percent to 1.8 percent for this year and 1.8 percent to 2.0 percent for 2015.,CHAIRMAN BERNANKE.
33,"While the economy appears to be advancing at a moderate pace, with some improvements appearing in housing and elsewhere, FOMC participants see an economic outlook that remains uncertain.",CHAIRMAN BERNANKE.
34,"The economy continues to face economic headwinds, including the situation in Europe; tight credit for some borrowers; and fiscal contraction at the federal, state, and local levels.",CHAIRMAN BERNANKE.
35,"In addition, strains in global financial markets continue to pose significant downside risks.",CHAIRMAN BERNANKE.
36,"Before I take your questions, I’d like to briefly address three concerns that have been raised about the Federal Reserve’s accommodative monetary policy.",CHAIRMAN BERNANKE.
37,The first is the notion that the Federal Reserve’s securities purchases are akin to fiscal spending.,CHAIRMAN BERNANKE.
38,The second is that a policy of very low rates hurts savers.,CHAIRMAN BERNANKE.
39,The third is that the Federal Reserve’s policies risk inflation down the road.,CHAIRMAN BERNANKE.
40,"On the first concern, I want to emphasize that the Fed’s purchases of longer-term securities are not comparable to government spending.",CHAIRMAN BERNANKE.
41,"The Federal Reserve buys financial assets, not goods and services.",CHAIRMAN BERNANKE.
42,"Ultimately, the Federal Reserve will normalize its balance sheet by selling these financial assets back into the market or by allowing them to mature.",CHAIRMAN BERNANKE.
43,"In the interim, the Federal Reserve’s earnings from its holdings of securities are remitted to the Treasury.",CHAIRMAN BERNANKE.
44,"In fact, the odds are strong that the Fed’s asset purchase programs, both through their net interest earnings and by strengthening the overall economy, will help reduce rather than bearing assets, such as certificates of deposit, are receiving very low returns.",CHAIRMAN BERNANKE.
45,"But low interest rates also support the value of many other assets that Americans own, such as homes and businesses large and small.",CHAIRMAN BERNANKE.
46,"Indeed, in general, healthy investment returns cannot be sustained in a weak economy, and, of course, it is difficult to save for retirement or other goals without the income from a job.",CHAIRMAN BERNANKE.
47,"Thus, while low interest rates do impose some costs, Americans will ultimately benefit most from the healthy and growing economy that low interest rates help promote.",CHAIRMAN BERNANKE.
48,"And finally, on inflation:  Inflation has varied in recent years with swings in global food and fuel prices caused by a range of factors, such as drought and geopolitical tensions.",CHAIRMAN BERNANKE.
49,"However, overall inflation has averaged very close to the Committee’s goal of 2 percent per year for quite a few years now, and a variety of measures show that longer-term inflation expectations are quite stable.",CHAIRMAN BERNANKE.
50,The Federal Reserve is fully committed to both sides of its mandate—to price stability as well as to maximum employment—and it has both the tools and the will to act at the appropriate time to avoid any emerging threat to price stability.,CHAIRMAN BERNANKE.
51,Thank you.,CHAIRMAN BERNANKE.
52,I’d be happy to respond to your questions.,CHAIRMAN BERNANKE.
53,"Hi, Mr. Chairman, it’s Darren Gersh, Nightly Business Report.",DARREN GERSH.
54,"Your forecast doesn’t get back to full employment for four years, so could these new bond purchases go on for years?",DARREN GERSH.
55,And can you give us a better idea of when you’ll—if you have specifics in mind on when you’ll know it’s time to stop?,DARREN GERSH.
56,Yes.,CHAIRMAN BERNANKE.
57,"We’ll be looking for signs that the economy is strong enough to promote improvement and sustained improvement in labor market conditions and recovery, to help the economy begin to grow quickly enough to generate new jobs and reduce the unemployment rate.",CHAIRMAN BERNANKE.
58,So that’s the criterion we’re looking at.,CHAIRMAN BERNANKE.
59,Kristina Peterson of Dow Jones.,KRISTINA PETERSON.
60,"The statement indicated that the highly accommodative stance would be maintained until after the recovery starts to strengthen, but there aren’t any specific economic conditions that are described.",KRISTINA PETERSON.
61,Could you describe what those would be?,KRISTINA PETERSON.
62,Or is the Fed—the Fed seems reluctant to have done that so far.,KRISTINA PETERSON.
63,"Well, we’ve been talking about our communications at the FOMC and trying to think about how best to communicate to the public, you know, what our policy reaction function, so to speak, is.",CHAIRMAN BERNANKE.
64,"And we haven’t, to this point, come to a set of numbers, a set of data that we can put out.",CHAIRMAN BERNANKE.
65,But what we’re trying to convey here is that we’re not going to be premature in removing policy accommodation.,CHAIRMAN BERNANKE.
66,"Even after the economy starts to recover more quickly, even after the unemployment rate begins to move down more decisively, we’re not going to rush to begin to tighten policy.",CHAIRMAN BERNANKE.
67,We’re going to give it some time to make sure the recovery is well established.,CHAIRMAN BERNANKE.
68,"Mr. Chairman, I want to talk about that same line in the statement.",STEVE LIESMAN.
69,"Does that mean that your tolerance for inflation will be higher in coming years, in the middle of the recovery?",STEVE LIESMAN.
70,"And, if not, what good is that language there if it doesn’t tell people that the reaction function relative to inflation has changed?",STEVE LIESMAN.
71,"Secondly, stock prices are up today, so are oil prices and gold.",STEVE LIESMAN.
72,Why aren’t those part of the same reaction to the Fed’s acts today?,STEVE LIESMAN.
73,"Well, our policy approach doesn’t involve intentionally trying to raise inflation.",CHAIRMAN BERNANKE.
74,That’s not the objective.,CHAIRMAN BERNANKE.
75,The idea is to make sure we provide enough place it was in January.,CHAIRMAN BERNANKE.
76,"We’ve seen not enough jobs growth to bring down the unemployment rate, and what we need to see is more progress.",CHAIRMAN BERNANKE.
77,And that’s what we will be looking at.,CHAIRMAN BERNANKE.
78,"In terms of the mid-2015 date, we think by that point that the economy will be recovering, we’ll be providing the support it needs.",CHAIRMAN BERNANKE.
79,"But if you look at our projections, you’ll see it doesn’t involve any inflation, that we still believe that inflation is going to be close to our 2 percent target.",CHAIRMAN BERNANKE.
80,"All right, I just need to follow up.",STEVE LIESMAN.
81,"Does this—so you’re saying it does not include greater tolerance for inflation, that you will—you would reverse course if inflation were to be above your target level, even given that statement?",STEVE LIESMAN.
82,"Well, if inflation goes above the target level, as we talked about in our statement in January, we take a balanced approach.",CHAIRMAN BERNANKE.
83,"We bring inflation back to the target over time, but we do it in a way that takes into account the deviations of both of our objectives, you know, from their targets.",CHAIRMAN BERNANKE.
84,"Thank you, Mr. Chairman.",ZACHARY GOLDFARB.
85,"Earlier this year, on two occasions, the Fed took policy actions, which you defended as extremely important for the economy, but, as you mentioned, there hasn’t been any improvement in the labor markets since the beginning of the year.",ZACHARY GOLDFARB.
86,Why should people believe this will make a difference?,ZACHARY GOLDFARB.
87,And the projections seem to suggest it’s approximately a 0.4 reduction in unemployment.,ZACHARY GOLDFARB.
88,Is that the limit of what Fed policies can do going forward?,ZACHARY GOLDFARB.
89,"Well, our assessment—I talked about this at my remarks at Jackson Hole—our assessment, and that of the research literature, is that the policies that we’ve undertaken have had real benefits for the economy—that they have provided some support, that problems.",CHAIRMAN BERNANKE.
90,We’re looking for policymakers in other areas to do their part.,CHAIRMAN BERNANKE.
91,"We’ll do our part, and we’ll try to make sure that unemployment moves in the right direction, but we can’t solve this problem by ourselves.",CHAIRMAN BERNANKE.
92,And do you think that 0.4 percent difference in the projections is about what’s possible?,ZACHARY GOLDFARB.
93,"Well, what happens is going to depend on where the economy goes—how much ultimate accommodation we give the economy.",CHAIRMAN BERNANKE.
94,The 0.4 percent you’re referring to is the change in the forecast between the last projection and this one.,CHAIRMAN BERNANKE.
95,"But remember, people make projections assuming that policy is appropriate.",CHAIRMAN BERNANKE.
96,"So some of them may have assumed these policies in their last projections, and not all are assuming these policies in this projection.",CHAIRMAN BERNANKE.
97,So that’s probably a little bit of an understatement of what we think we can get.,CHAIRMAN BERNANKE.
98,"But in any case, again, I want to be clear that while I think we can make a meaningful and significant contribution to this problem—to reducing this problem, we can’t solve it.",CHAIRMAN BERNANKE.
99,We don’t have tools that are strong enough to solve the unemployment problem.,CHAIRMAN BERNANKE.
100,You’ve made an eloquent explanation over the past couple of weeks of the Fed’s ability to lower interest rates.,MIKE MCKEE.
101,But what’s missing for many economists is how the transmission mechanism is going to work.,MIKE MCKEE.
102,Most people think this will have a minimal effect on rates.,MIKE MCKEE.
103,"Can you give us an idea of how much you think it might push rates down, and why moving rates down a few basis points might change demand, which seems to be the problem in the economy?",MIKE MCKEE.
104,"Well, the ultimate effect is going to depend, of course, on economy evolves.",CHAIRMAN BERNANKE.
105,"I think that’s the virtue of putting it this way, is that if the economy is weaker, we’ll provide more support; if the economy strengthens on its own or other headwinds die down, then it will require less support.",CHAIRMAN BERNANKE.
106,So the amount of support we provide is going to depend on how the economy evolves.,CHAIRMAN BERNANKE.
107,"We do think that these policies can bring interest rates down—not just Treasury rates, but a whole range of rates, including mortgage rates and rates for corporate bonds and other types of important interest rates.",CHAIRMAN BERNANKE.
108,It also affects stock prices.,CHAIRMAN BERNANKE.
109,"It affects other asset prices—home prices, for example.",CHAIRMAN BERNANKE.
