,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,Thanks for joining us today.,CHAIR POWELL.
2,I would like to begin by acknowledging the tragic loss and tremendous hardship that people are experiencing both here in the United States and around the world.,CHAIR POWELL.
3,"The coronavirus outbreak is first and foremost a public health crisis, and the most important response is coming from those in the front lines in hospitals, emergency services, and care facilities.",CHAIR POWELL.
4,"On behalf of the Federal Reserve, let me express our sincere gratitude to those dedicated individuals who put themselves at risk, day after day, in service to others and to our nation.",CHAIR POWELL.
5,The forceful measures that we as a country are taking to control the spread of the virus have brought much of the economy to an abrupt halt.,CHAIR POWELL.
6,"Many businesses have closed, people have been asked to stay home, and basic social interactions are greatly curtailed.",CHAIR POWELL.
7,"People are putting their lives and livelihoods on hold, at significant economic and personal cost.",CHAIR POWELL.
8,"All of us are affected, but the burdens are falling most heavily on those least able to carry them.",CHAIR POWELL.
9,It is worth remembering that the measures we are taking to contain the virus represent an investment in our individual and collective health.,CHAIR POWELL.
10,"As a society, we should do everything we can to provide relief to those who are suffering for the public good.",CHAIR POWELL.
11,"While many standard economic statistics have yet to catch up with the reality we’re experiencing, it’s clear that the effects on the economy are severe.",CHAIR POWELL.
12,"Millions of workers are losing their jobs:  Next week’s jobs report is expected to show that the unemployment rate, which was at 50-year lows just two months ago, has surged into double digits.",CHAIR POWELL.
13,"Household spending has plummeted as people stay home, and measures of consumer sentiment have fallen precipitously.",CHAIR POWELL.
14,"Hotels, airlines, restaurants, department stores, and other retailers have been particularly hard hit.",CHAIR POWELL.
15,Manufacturing output fell sharply in March and is likely to drop even more likely drop at an unprecedented rate in the second quarter.,CHAIR POWELL.
16,"Inflation is also being held down, reflecting weaker demand as well as significantly lower energy prices.",CHAIR POWELL.
17,Both the depth and the duration of the economic downturn are extraordinarily uncertain and will depend in large part on how quickly the virus is brought under control.,CHAIR POWELL.
18,The severity of the downturn will also depend on the policy actions taken at all levels of government to cushion the blow and to support the recovery when the public health crisis passes.,CHAIR POWELL.
19,"The Federal Reserve’s response is guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",CHAIR POWELL.
20,We are also committed to using our full range of tools to support the economy in this challenging time.,CHAIR POWELL.
21,Last month we quickly lowered our policy interest rate to near zero.,CHAIR POWELL.
22,We stated then and again today that we expect to maintain interest rates at this level until we’re confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.,CHAIR POWELL.
23,"Of course, lowering interest rates cannot stop the sharp drop in economic activity caused by closures and other forms of social distancing.",CHAIR POWELL.
24,And low rates will not effectively spur the economy if those rates do not feed through to broader financial conditions or if households and businesses are unable to get credit.,CHAIR POWELL.
25,The economic disruptions caused by the virus created tremendous strains in some essential financial markets and have impaired the flow of credit in the economy.,CHAIR POWELL.
26,"Without access to credit, families can be forced to cut back on necessities and could lose their homes.",CHAIR POWELL.
27,"Businesses can be forced to downsize or close, resulting in further losses of jobs and incomes and worsening the downturn.",CHAIR POWELL.
28,Preserving the flow of credit is thus essential for mitigating the forceful actions to these ends.,CHAIR POWELL.
